Datetime,Lat.,Lon.,Total_SO2,OMTO3_O3,DateforKepler
20130617T051034450Z,30.47,122.06,0.34299999999999997,296.475,2013/06/17 05:10:34.450
20130617T051041938Z,30.91,121.96,0.37799999999999995,298.58799999999997,2013/06/17 05:10:41.938
20130617T051049426Z,31.35,121.85,-0.035,300.70099999999996,2013/06/17 05:10:49.426
20130617T051056914Z,31.79,121.75,-0.003,298.204,2013/06/17 05:10:56.914
20130618T045147434Z,30.59,120.89,0.267,286.107,2013/06/18 04:51:47.434
20130618T045154922Z,31.03,120.76,0.441,288.665,2013/06/18 04:51:54.922
20130618T045202410Z,31.47,120.62,-0.067,288.858,2013/06/18 04:52:02.410
20130618T045147434Z,30.7,121.4,0.008,287.945,2013/06/18 04:51:47.434
20130618T045154922Z,31.13,121.27,-0.212,287.002,2013/06/18 04:51:54.922
20130618T045202410Z,31.57,121.14,-0.092,293.715,2013/06/18 04:52:02.410
20130618T045147434Z,30.79,121.9,-0.098,289.435,2013/06/18 04:51:47.434
20130618T045154922Z,31.23,121.77,0.5820000000000001,292.619,2013/06/18 04:51:54.922
20130618T045202410Z,31.67,121.64,0.37200000000000005,295.80400000000003,2013/06/18 04:52:02.410
20130618T045147434Z,30.88,122.4,0.05,288.507,2013/06/18 04:51:47.434
20130618T045154922Z,31.32,122.27,0.008,285.16700000000003,2013/06/18 04:51:54.922
20130618T045202410Z,31.76,122.14,0.114,296.805,2013/06/18 04:52:02.410
20130619T043307892Z,30.7,121.02,0.081,290.623,2013/06/19 04:33:07.892
20130619T043315380Z,31.13,120.87,-0.17,279.282,2013/06/19 04:33:15.380
20130619T043322868Z,31.56,120.71,0.621,288.26099999999997,2013/06/19 04:33:22.868
20130619T043300404Z,30.52,121.88,-0.04,290.405,2013/06/19 04:33:00.404
20130619T043307892Z,30.95,121.73,0.17300000000000001,291.51,2013/06/19 04:33:07.892
20130619T043315380Z,31.38,121.58,-0.083,289.075,2013/06/19 04:33:15.380
20130619T043322868Z,31.81,121.43,-0.29600000000000004,297.168,2013/06/19 04:33:22.868
20130619T043307892Z,31.16,122.39,0.168,280.318,2013/06/19 04:33:07.892
20130619T043315380Z,31.59,122.24,0.055,287.066,2013/06/19 04:33:15.380
20130620T041428375Z,30.39,121.67,-0.016,294.22,2013/06/20 04:14:28.375
20130620T041435864Z,30.81,121.5,-0.037000000000000005,298.111,2013/06/20 04:14:35.864
20130620T041443352Z,31.23,121.33,-0.14400000000000002,299.57099999999997,2013/06/20 04:14:43.352
20130620T041450840Z,31.65,121.15,0.037000000000000005,295.316,2013/06/20 04:14:50.840
20130621T053556465Z,30.3,121.28,-0.066,293.346,2013/06/21 05:35:56.465
20130621T053603953Z,30.74,121.2,0.04,291.805,2013/06/21 05:36:03.953
